"bug.id","temp.avg","temp.var","treatment","instar","mass.wand","mass.48em","num.ovp","suc.ovp","instar.em","bled.em","num.em","num.coc","num.fail.spin","num.ecl","num.unem","load","date.hatch.j","date.died.j","date.3.j","date.4.j","date.5.j","date.wand.j","date.ovp.j","date.em.j","date.ecl.j","ttecl","ttem.w","ps.em","ps.ecl","tt3","tt4","tt5","ttwand","ttem.h","diet","ttend","died","died.bf5","date.cull.j","mass.cull","left_out","ttcull","mongo","end.class","expt","keep","keep2","mass","age"
"121",30,0,"control","3",7948.75,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,25,0,29,32,35,38,NA,0,NA,NA,NA,0,0,4,7,10,13,NA,"col",13,0,0,0,NA,NA,NA,0,"wand","repl",1,1,40.18,4
"121",30,0,"control","4",7948.75,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,25,0,29,32,35,38,NA,0,NA,NA,NA,0,0,4,7,10,13,NA,"col",13,0,0,0,NA,NA,NA,0,"wand","repl",1,1,490.36,7
"121",30,0,"control","5",7948.75,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,25,0,29,32,35,38,NA,0,NA,NA,NA,0,0,4,7,10,13,NA,"col",13,0,0,0,NA,NA,NA,0,"wand","repl",1,1,1402.46,10
"121",30,0,"control","end",7948.75,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,25,0,29,32,35,38,NA,0,NA,NA,NA,0,0,4,7,10,13,NA,"col",13,0,0,0,NA,NA,NA,0,"wand","repl",1,1,7948.75,13
"122",30,10,"control","3",8421.48,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,25,0,29,32,36,41,NA,0,NA,NA,NA,0,0,4,7,11,16,NA,"col",16,0,0,0,NA,NA,NA,0,"wand","repl",1,1,41.28,4
"122",30,10,"control","4",8421.48,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,25,0,29,32,36,41,NA,0,NA,NA,NA,0,0,4,7,11,16,NA,"col",16,0,0,0,NA,NA,NA,0,"wand","repl",1,1,372.99,7
"122",30,10,"control","5",8421.48,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,25,0,29,32,36,41,NA,0,NA,NA,NA,0,0,4,7,11,16,NA,"col",16,0,0,0,NA,NA,NA,0,"wand","repl",1,1,1693.75,11
"122",30,10,"control","end",8421.48,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,25,0,29,32,36,41,NA,0,NA,NA,NA,0,0,4,7,11,16,NA,"col",16,0,0,0,NA,NA,NA,0,"wand","repl",1,1,8421.48,16
"123",30,0,"para","3",NA,3870.92,1,NA,5,0,100,59,41,33,33,133,25,0,29,32,35,0,29,39,43,14,10,0.75187969924812,0.24812030075188,4,7,10,NA,14,"col",14,0,0,0,NA,1,NA,0,"em","repl",1,1,62.92,4
"123",30,0,"para","4",NA,3870.92,1,NA,5,0,100,59,41,33,33,133,25,0,29,32,35,0,29,39,43,14,10,0.75187969924812,0.24812030075188,4,7,10,NA,14,"col",14,0,0,0,NA,1,NA,0,"em","repl",1,1,326.67,7
"123",30,0,"para","5",NA,3870.92,1,NA,5,0,100,59,41,33,33,133,25,0,29,32,35,0,29,39,43,14,10,0.75187969924812,0.24812030075188,4,7,10,NA,14,"col",14,0,0,0,NA,1,NA,0,"em","repl",1,1,1918.04,10
"123",30,0,"para","end",NA,3870.92,1,NA,5,0,100,59,41,33,33,133,25,0,29,32,35,0,29,39,43,14,10,0.75187969924812,0.24812030075188,4,7,10,NA,14,"col",14,0,0,0,NA,1,NA,0,"em","repl",1,1,3870.92,14
"124",30,10,"para","3",8701.61,NA,1,NA,NA,NA,0,NA,NA,0,NA,0,25,0,29,33,38,50,29,0,NA,NA,NA,0,0,4,8,13,25,NA,"col",25,0,0,0,NA,NA,NA,0,"wand","repl",1,1,53.55,4
"124",30,10,"para","4",8701.61,NA,1,NA,NA,NA,0,NA,NA,0,NA,0,25,0,29,33,38,50,29,0,NA,NA,NA,0,0,4,8,13,25,NA,"col",25,0,0,0,NA,NA,NA,0,"wand","repl",1,1,197.38,8
"124",30,10,"para","5",8701.61,NA,1,NA,NA,NA,0,NA,NA,0,NA,0,25,0,29,33,38,50,29,0,NA,NA,NA,0,0,4,8,13,25,NA,"col",25,0,0,0,NA,NA,NA,0,"wand","repl",1,1,1468.38,13
"124",30,10,"para","end",8701.61,NA,1,NA,NA,NA,0,NA,NA,0,NA,0,25,0,29,33,38,50,29,0,NA,NA,NA,0,0,4,8,13,25,NA,"col",25,0,0,0,NA,NA,NA,0,"wand","repl",1,1,8701.61,25
